title,publishedAt,channelTitle,category,tags,duration,live_content,view_count,likes,comment_count,subscriber_count,engagement_rate,total_view_count,channel_country
"I BOUGHT CHEAPEST PS5 FROM MEESHO","2024-11-04T14:30:00Z","The RawKnee Games","Gaming","""therawknee|rony|therawkneeshow|rawknee|therawknee games|rawknee amazon|rawknee amazon video|rawknee amazon shopping|rawknee amazon rc car|rawknee amazon buying|rawknee amazon japan|rawknee games amazon|rawknee games amazon pokemon|the rawknee games amazon video|rawknee games amazon drone|amazon rawknee|rawknee games amazon beyblade|rawknee games amazon gel blaster|meesho|meesho haul|meesho kurti haul|meesho gaming|rawknee meesho|ps5|ps5 pro|rawknee ps5|ps""","PT29M21S","none","870713","41981","7479","5010000","0.05680402153177913","893946425","IN"
"Veera(வீரா) | திங்கள்-வெள்ளி இரவு 8 மணிக்கு | 06 Nov 24 | Promo | Zee Tamil","2024-11-06T05:45:01Z","Zee Tamil","Entertainment","""Zee Tamil|zeetamil|ஜீ தமிழ்|zee தமிழ்|Tamil channel|tamil tv serial|tamil serial|zee tamil show|entertainment|daily soaps|family|drama|comedy|horror|thriller|romance|romantic|tamil|free|download|mobile|story|episode|latest|scene|full episode|best scene|webisode|precap|preview|promo|complete series|video|youtube|tv|popular shows|zee5|ZEEL""","PT30S","none","650289","11488","45","15700000","0.017735191584049553","13570264224","IN"
"A Date With Boss || Season 2 || Final Episode || Ravi Siva Teja || Viraajitha || Infinitum Media","2024-11-05T13:07:15Z","Infinitum Theatre","Entertainment","""A date with Boss|A date with boss season 2|A date with boss season 2 web series|ravi siva teja viraajitha|ravi siva teja short films|viraajitha|virajitha sharma short film|ravi siva teja|virajitha ravi siva teja short film|telugu short films|telugu love short films|date with boss|latest telugu short films 2024|telugu short films 2024|latest short films telugu 2024|ravi siva teja virajitha latest|date with boss season 2 final episode|a date with boss s 2 ep 20""","PT17M37S","none","404817","25639","623","877000","0.06487375777203032","288615463","IN"
"This Train is VERY DANGEROUS! | ProBoii","2024-11-05T12:04:38Z","ProBoii","Gaming","""scary train game|train game|scary game|scary horror game|horror game|horror proboiz|proboii|proboiz|proboiz 95""","PT16M3S","none","318247","11211","845","1300000","0.037882525208407306","183659649","IN"
"Ye Kya Dekh Liya 😳 Crocodile Khate Hai Thailand Mein","2024-11-06T02:30:34Z","Sourav Joshi Vlogs","People & Blogs","""sourav joshi|sourav joshi vlogs|family vlogs|daily vlogs|piyush joshi|piyush joshi vlogs|sourav joshi arts|vlogs|family vlog|KUNALI|KUNALI JOSHI|KUNALI JOSHI VLOGS|kunali|kunali vlogs|kunali vlog|kunali k toys|thailand vlog|thailand pohoch gye""","PT9M6S","none","2986792","176660","4653","29500000","0.06070493023953459","14459385727","Unknown"
"గంగవ్వ పిజ్జా చేస్తే | Gangavva Pizza Cheste | My Village Show | Gangavva | Raju | Village Show Mix","2024-11-05T04:12:56Z","Village Show - Mix","Comedy","""My Village Show|Gangavva|Anjimama|Raju|Chandhu|Anilgeela|Thirumal|Gangareddykotte|Village Show Mix|My Village Show Mix|Village Show Comedy|My Village Show Vlogs|Anilgeela Vlogs|Kallivelli|My Village Show New Video|Maa Uri Mucchatlu|Village Comedy Video|Lambadipally|Bigboss Gangavva|My Village Show Venkat|My Village Show Srikanth|Srikanth Sriram|MVS|Maa Village Show|MVS Videos|Village Festival Comedy|MyVillageshow|Gangareddy Kotte|MVS Raju|MVS Srikanth|Pizza""","PT13M46S","none","142155","4235","112","1140000","0.030579297245963914","338543962","IN"
"മാഞ്ചസ്റ്ററിലെ നമ്മുടെ TRIPLET BABIES ആദ്യാക്ഷരം കുറിച്ച വിശേഷങ്ങൾ | VIJAYADESHAMI CELEBRATIONS","2024-11-05T07:00:18Z","Lekshmi Nair","Howto & Style","""lekshmi nair vlogs|lekshmi nair|lakshmi nair""","PT12M6S","none","126290","3292","513","2050000","0.030129068018053685","463194518","IN"
"Thailand Mein Ye Kya Hogya Mere Sath ? 😭","2024-11-05T02:30:04Z","Sourav Joshi Vlogs","People & Blogs","""sourav joshi|sourav joshi vlogs|family vlogs|daily vlogs|piyush joshi|piyush joshi vlogs|sourav joshi arts|vlogs|family vlog|KUNALI|KUNALI JOSHI|KUNALI JOSHI VLOGS|kunali|kunali vlogs|kunali vlog|kunali k toys|thailand vlog|thailand pohoch gye""","PT8M16S","none","4206927","217524","4947","29500000","0.05288206807486795","14459385727","Unknown"
"Babbu Maan - 5 Vaje | Latest Punjabi Song 2024","2024-11-05T04:37:30Z","Babbu Maan","Music","""Babbu Maan|Babbu Mann|Pop|Folk|Punjabi|Punjabi Songs|Babbu Maan new songs|Hit Punjabi Songs|5 vajje|babbu maan 5 vaje|babbu maan new song|babbu maan 2024|latest punjabi song 2024|babbu maan hit song|babbu maan new punjabi song""","PT3M54S","none","626640","50512","6064","4040000","0.09028469296565811","1276427981","IN"
"Kayal - Promo | 06 Nov 2024 | Tamil Serial | Sun TV","2024-11-05T16:43:57Z","Sun TV","Entertainment","""Kayal|Kayal serial|Kayal serial promo|Kayal today|Kayal promo today|serial|sun tv serial|Kayal serial sun|Kayal sun tv serial|Kayal tamil serial today|Kayal todays episode|Kayal episode|Kayal sun tv serial today|tamil serial""","PT23S","none","592061","6663","92","28800000","0.011409297352806552","31530232061","IN"
