title,channelTitle,category,tags,duration,live_content,view_count,likes,comment_count,subscriber_count,engagement_rate,total_view_count,channel_country,date,time
Fortnite: Chapter 2 Remix Battle Pass (Full Showcase),ShuffleGamer,Gaming,"""Fortnite|Fortnite Battle Royale|Battle Royale|Games|Gaming|Gameplay|Fortnite Chapter 2 Remix|Chapter 2 Remix|Fortnite Chapter 5|Chapter 5|New Fortnite|Fortnite New|Fortnite New Update|Fortnite Update|Fortnite New Season|Fortnite Battle Pass|New Fortnite Battle Pass|Fortnite Chapter 2 Remix Battle Pass|Chapter 2 Remix Battle Pass|Chapter 2 Remix Trailer|New|Season|Battle Pass|New Battle Pass|Fortnite OG Chapter 2 Battle Pass|Fortnite Chapter 5 Season 5""",4.67,none,613526,7331,1815,6030000,0.014907274,1090658912,US,11/2/2024,7:06:08
Qualifying Highlights | 2024 Sao Paulo Grand Prix,FORMULA 1,Sports,"""F1|Formula One|Formula 1|Sports|Sport|Action|GP|Grand Prix|Auto Racing|Motor Racing""",8.02,none,3090538,67520,3958,11200000,0.023128012,7315622433,US,11/3/2024,12:49:51
BABYMONSTER - 'DRIP' M/V,BABYMONSTER,People & Blogs,"""BABYMONSTER|베이비몬스터|베몬|BABYMON|BAEMON|하람|아현|루카|치키타|파리타|로라|아사|HARAM|AHYEON|RUKA|CHIQUITA|PHARITA|RORA|ASA""",3.12,none,50398747,1457271,77077,7320000,0.03044417,2916580217,KR,11/1/2024,4:00:06
Fuerza Regida X Luis R Conriquez - CHOLO 7 (VIDEO OFICIAL),FUERZA REGIDA,Music,"""[none]""",2.67,none,1810627,62529,1688,4320000,0.03546672,5928816201,US,11/1/2024,0:00:05
Squid Game: Season 2 | Official Teaser | Netflix,Netflix,Entertainment,"""2024|456|Childhood Games|Choi Seung-hyun|Coming Soon|Dec 26|Fandom|Gi-hun|Global Phenomenon|Jo Yu-ri|KContent|Kang Ae-sim|Kang Ha-neul|Lee Byung-hun|Lee Jung-jae|Netflix|News|Official Teaser|Park Sung-hoon|Pink Guards|Player 456 Front Man|Red Light Green Light|Season 2|Series|Squid Game|Squid Game 2|Squid Game Doll|Teaser|Teaser Trailer|Wi Ha-jun|Yang Dong-geun|Yim Si-wan|Young-hee""",1.88,none,15268649,448371,17324,29200000,0.030500079,8971613599,US,10/31/2024,19:00:05
Lil Uzi Vert - Chill Bae [Official Music Video],LIL UZI VERT,Music,"""Lil|Uzi|Vert|Lil Uzi Vert|Eternal Atake|Money Longer|LUV|Futsal Shuffle|That Way|Sanguine Paradise|XO Tour Life|XO Tour Llif3|Luv Is Rage|Luv is Rage 2|The Perfect LUV Tape|Worldstar|Akadmiks|Philly|Rap|Hip Hop|Atlantic Records|Generation Now|Roc Nation|nwE_BsjBSUw|New Patek|Je2OItlb4pY/edit|PLUTO X BABY PLUTO|PLUTO|Lil Uzi Vert Future|Lil Uzi Vert Future Pluto x Baby Pluto|Future|Future Pluto|Lil Uzi Pluto x Baby Pluto|Baby Pluto""",3.42,none,2820202,85588,5616,9840000,0.032339527,5168439853,US,11/1/2024,4:00:08
How Destructive Is Our Harpoon Cannon?,How Ridiculous,Sports,"""how ridiculous|rexy|44club""",22.5,none,780705,34659,1383,23000000,0.046165965,13764386151,AU,11/1/2024,22:00:11
"I Found a WW2 German Spy Cave, Hidden in the American Desert?",Desert Drifter,People & Blogs,"""[none]""",25.2,none,411412,21129,2102,356000,0.05646651,47630071,US,11/1/2024,19:12:41
MARIAH CAREY - IT'S TIME!!!! (2024),Mariah Carey,Music,"""[none]""",0.92,none,2006002,150683,8227,11200000,0.079217269,9188318968,US,11/1/2024,4:00:28
Laufey - Santa Baby (Official Music Video),Laufey,Music,"""laufey|laufey lin|chill|lyric video|everything i know about love|laufey video|jazz|jazzy|everything i know|layvay|lay vay|slow|Lauvey|Laufey|from the start|fts|visualizer|official visualizer|new music|tiktok|laufey tiktok|classical|ballerina|music school|new song|lyrics|lyric|bewitched|music video|new album|live|acoustic|christmas|holiday|a very laufey holiday|winter wonderland|winter""",4.05,none,2131934,106388,3741,1880000,0.051656852,449183878,US,11/1/2024,14:00:06
The BIGGEST argument in Locked In history?! Locked In S5 EP4 |  @Footasylumofficial,Footasylum,Entertainment,"""Footasylum|Yung Filly|Darkest Man|GK Barry|Nella Rose|Harry Pinero|Chunkz|Johnny Carey|Sharky|AJ Shabeel|Niko Omilana|King Kenny|Beta Squad|Sidemen|KSI|Locked In|Does The Shoe Fit|Chef Asylum|Stephen Tries|Bambino Becky|Max Khadar|Good Evening Britain|Liar Liar|Bad Bistro|Adeola Patronne|Chunkz & Filly|Philly|Young Filly|Chunks|BETA squad|Behzinga|Miniminter|Zerkaa|Tobjizzle|The Burnt Chip|tennessee|Chloe Burrows|Pieface|Tays|Heather Bowling""",57.52,none,1228628,26953,2094,2860000,0.023641818,846964070,GB,11/3/2024,19:00:10
Livingstone and Hope Hit Tons | Highlights | West Indies v England | 2nd CG United ODI,Windies Cricket,Sports,"""cricket|cricket west indies|west indies|windies|west indies cricket team|cricket highlights|cricket highlights match today|west indies india Cricket|west indies india test|virat kohli|rohit sharma|jason holder|bcci cricket|india cricket highlights|liam livingstone|jacob bethell|Shai Hope|Brendon McCullum|Sam Curran|Phil Salt|Keacy Carty|Sherfane Rutherford|Jofra Archer|John Turner|West Indies v England|england|2nd CG united ODI|ODI cricket""",16.02,none,1399774,16969,350,4000000,0.012372712,1292293956,AG,11/2/2024,22:37:20
GLITCHX 2024,GLITCH,Film & Animation,"""glitch|glitch productions|digital circus|the amazing digital circus|murder drones|Pomni|Uzi|Jax|Ragatha|Kinger|Gangle|Zooble|Caine|Bubble|3D|Animation|3D Animation|Indie Animation|Gummigoo""",54.52,none,1731212,132139,8601,12000000,0.081295647,1323373200,AU,11/1/2024,22:00:06
Young Thug Gives Heartfelt Speech Before Walking Out of YSL Trial,Law&Crime Trials,Entertainment,"""law and crime|law and crime network""",9.32,none,834524,16967,2600,552000,0.023446899,181277024,US,10/31/2024,23:00:39
Microsoft Sucks at Everything,NakeyJakey,Comedy,"""[none]""",27.1,none,1554478,111633,8317,2060000,0.077164167,217759464,US,10/31/2024,22:22:23
