title,channelTitle,category,channel_country,publishedAt,duration,view_count,likes,comment_count,engagement_rate
Aye Ishq e Junoon Episode 6 | Ushna Shah | Sheheryar Munawar | 26th Nov 2024 (Eng Sub) | ARY Digital,ARY Digital HD,Entertainment,PK,2024-11-26T17:14:53Z,40.3,3420666,55372,1661,0.016673069
Final Bye To Super-Car 🥺,Sourav Joshi Vlogs,People & Blogs,IN,2024-11-27T02:30:22Z,8.38,2663499,168736,13964,0.068593981
Ramya Pandian wedding vlog|சோறு முக்கியம் பிகிலு😄| anitha Sampath vlogs,Anithasampath Vlogs,People & Blogs,IN,2024-11-25T05:30:11Z,9.43,181526,2075,91,0.011932175
Etna Bada BURGER Bana Diya 😍,Sourav Joshi Vlogs,People & Blogs,IN,2024-11-25T02:30:18Z,9.5,4325438,187687,5041,0.044556875
GREATEST I ARJAN DHILLON I MXRCI I BROWN STUDIOS,Brown Studios,Music,IN,2024-11-26T03:30:08Z,3.02,516890,27212,894,0.054375206
Dil-e-Nadan Episode 31 - [Eng Sub] - Mikaal Zulfiqar - Amar Khan - Ali Abbas - 26th November 2024,HAR PAL GEO,Entertainment,PK,2024-11-26T16:00:49Z,38.0,2434080,30555,628,0.012811
நம்ம வீட்டுக்கு மகாலட்சுமி வந்துட்டா|| அம்மா அப்பாவுக்கு ஒரே சந்தோசம்|| 🥰 @AmmaKaiPakkuvam,Amma Kai Pakkuvam,People & Blogs,IN,2024-11-25T09:28:00Z,15.57,233875,4399,254,0.019895243
Phod-Cast with Elvish Yadav: Breaking Podcast with Nyrra Banerjee: Trailer,The Little Adda Company,People & Blogs,IN,2024-11-23T13:30:06Z,1.03,818828,67370,6220,0.089872354
Taarak Mehta Ka Ooltah Chashmah | तारक मेहता | Ep 4253 | Coming Up Next,Sony SAB,Entertainment,IN,2024-11-26T15:45:05Z,1.13,335972,6348,81,0.019135523
'Didn't give ourselves a chance': Cummins opens up on Perth Test after Aussie collapse | Fox Cricket,Fox Cricket,Sports,AU,2024-11-25T09:01:03Z,6.75,756702,10816,578,0.015057447
ഇത്രയെങ്കിലും പറഞ്ഞില്ലെങ്കിൽ ശരിയാവില്ല🫡,WE're IN love 2.0,People & Blogs,IN,2024-11-25T04:37:02Z,31.57,57106,1389,559,0.034112002
NEW! Ep 4252 - Jethalal Ki Duniya Hil Gayi!  | Taarak Mehta Ka Ooltah Chashmah,Taarak Mehta Ka Ooltah Chashmah,Comedy,IN,2024-11-26T15:30:06Z,6.7,543790,10563,251,0.019886353
Celebrating Pavani's Birthday in Hyderabad,Priyanka Deshpande,Travel & Events,IN,2024-11-24T06:22:04Z,8.65,234665,6593,225,0.029054184
Chutney में डुबोकर Bhide क्यों खा रहा है Puranpoli? | Taarak Mehta Ka Ooltah Chashmah Ke Foodies,LIV Comedy,Comedy,US,2024-11-26T07:00:16Z,19.25,581735,4856,84,0.008491839
"AAJ TAK SHOW: PERTH जीत के बाद GAVASKAR ने कहा BUMRAH के पास अलग हुनर, ROHIT-JAISWAL करें OPEN | BGT",Sports Tak,Sports,IN,2024-11-25T15:18:27Z,12.9,589424,12700,596,0.022557616
Anna | Ep - 530 | Preview | Nov 25 2024 | Zee Tamil,Zee Tamil,Entertainment,IN,2024-11-25T03:40:00Z,2.07,754750,10372,72,0.013837695
"Prithvi Shaw, David Warner or Shardul Thakur, Here's list of top unsold players from IPL Auction!",NewsBook,Sports,IN,2024-11-26T00:30:06Z,6.17,1183122,30507,1344,0.026921146
Sarson Ke Saag Banane Mein Pura Din Lag Gaya🧑🏻‍🍳😳 | Bharti Singh | Haarsh Limbachiyaa | Golla,LOL (Life of Limbachiyaa’s),Entertainment,IN,2024-11-26T13:30:23Z,16.0,1182657,49273,1130,0.042618443
Indian Dads | Funcho,Funcho,Comedy,IN,2024-11-23T08:58:01Z,13.22,808566,44233,1258,0.056261332
सबसे बड़ा बम 3 | Diwali Dhamaka 3 | Hindi Comedy | Pakau TV Channel,Pakau TV channel,Entertainment,IN,2024-11-24T06:30:16Z,4.42,134440,2069,208,0.016936924
Aye Ishq e Junoon Episode 5 | Ushna Shah | Sheheryar Munawar | 25th Nov 2024 (Eng Sub) | ARY Digital,ARY Digital HD,Entertainment,PK,2024-11-25T16:24:42Z,39.63,5267883,74813,2139,0.014607766
2 Sides || Final Episode || Varsha Dsouza || Aakanksha Honey || Vamsi Kotu || Infinitum Media,Varsha Dsouza,Entertainment,IN,2024-11-22T12:41:42Z,25.72,584685,26301,468,0.045783627
Mere Yaar ki Shaadi Hai | Bahut Bahut Mubarak @AnkitAzadvideos @lifewithtwinkle Khush raho❤️,Shoaib Ibrahim Official,People & Blogs,IN,2024-11-26T15:08:48Z,14.27,810915,40113,950,0.05063786
IPL 2025 Mega Auction Tamil | Updated Squad List of teams Day 1|CSK MI RCB RR DC PBKS KKR SRH LSG GT,Tamil Cricket News,Sports,IN,2024-11-24T20:05:25Z,17.5,115755,5461,329,0.050019438
BUA JI AND HAUNTED HOUSE || Sibbu Giri,Sibbu Giri,Entertainment,IN,2024-11-24T10:14:33Z,38.22,169950,2678,292,0.017475728
I Became Scary Techno Gamerz To Troll My Friends😂💀,MineFlux,Gaming,IN,2024-11-23T11:31:53Z,22.82,615168,12301,545,0.0208821
I Turned a 1 Star Rated Train 5 Star ⭐️,Karthik Surya,People & Blogs,IN,2024-11-22T12:07:28Z,16.28,793002,62657,4336,0.084480241
Shinchan Flying House With Balloons🎈,Tyro Gaming,Gaming,IN,2024-11-25T13:38:52Z,11.18,301087,4352,350,0.015616749
Haye Re Biye | Khadaan | Dev | Jisshu | Barkha | Abhijeet | June | Nilayan | Soojit | Surinder Films,Surinder  Films,Entertainment,IN,2024-11-22T09:30:01Z,4.05,1061061,44401,5218,0.04676357
Franklin Using Magical Painting To Become Biggest Gang Leader In Gta 5!,Krishna Flight,Gaming,IN,2024-11-25T05:21:55Z,11.8,124306,1858,214,0.016668544
Hand Gripper Squeeze ചെയ്താൽ 10000 രൂപ,Arjun MP Shorts,Entertainment,IN,2024-11-23T07:30:06Z,15.2,292743,12318,500,0.043785846
