title,channelTitle,category,channel_country,publishedAt,duration,view_count,likes,comment_count,engagement_rate
"Donald Trump ‘acted like a man’, says Putin",The Times and The Sunday Times,News & Politics,GB,2024-11-07T20:21:50Z,1.32,4171293,79205,15930,0.0228070768464358
jschlatt — Santa Claus Is Coming To Town (Official),Schlatt & Co.,Music,US,2024-11-07T16:30:15Z,2.3,2244192,321131,18253,0.1512277024425717
THE BOYFRIEND TAG...,morgans vlogs,People & Blogs,US,2024-11-08T19:16:02Z,18.67,389435,26723,2962,0.0762258143207467
One Pokeball to Catch the Stronger Pokémon,MandJTV Plays,Gaming,US,2024-11-08T14:15:04Z,27.95,339097,18617,878,0.0574909244257542
2025 GRAMMY Nominations: Watch Live Here,Recording Academy / GRAMMYs,Music,US,2024-11-08T16:40:56Z,18.77,392177,11265,2220,0.0343849843310546
Genshin Impact Version 5.2 Special Program #GenshinImpact #NewVersion #SpecialProgram,Genshin Impact,Gaming,US,2024-11-08T12:00:07Z,36.2,1284191,61164,4336,0.0510048738855824
"FIXING THE $30,000 PROBLEM ON MY NISSAN GTR",Mat Armstrong MK2,Autos & Vehicles,GB,2024-11-07T18:00:36Z,43.48,1684162,68558,2681,0.0422993750007422
"IVE, David Guetta - Supernova Love Official Music Video",IVE,Entertainment,KR,2024-11-08T05:00:04Z,2.57,3329064,198529,20880,0.0659071138313952
HIGHLIGHTS | IRELAND V NEW ZEALAND | AUTUMN NATIONS SERIES 2024,Autumn Nations Series,Sports,Unknown,2024-11-08T22:53:49Z,7.12,523850,5179,1240,0.0122535076834971
"I 3D Printed a $1,175 Chair",Morley Kert,Howto & Style,Unknown,2024-11-07T15:04:22Z,16.52,2218977,61511,2931,0.0290413104777561
YoungBoy Never Broke Again - Missing Everything [Official Video],YoungBoy Never Broke Again,Music,US,2024-11-08T02:20:12Z,3.72,1318243,90633,6523,0.0737011309750933
I Found Rarest Secret Rooms In Minecraft,PrestonPlayz,Gaming,US,2024-11-07T13:00:37Z,24.42,1321004,30310,3706,0.0257501112789968
THE POWER SYSTEMS! | Real Life Power Armor (Part 2/6),Hacksmith Industries,Science & Technology,CA,2024-11-07T21:00:28Z,29.53,1039381,54816,2489,0.0551337767382701
Hammer Jam Film: A New Character appears!,Clash of Clans,Gaming,Unknown,2024-11-07T12:00:19Z,1.43,3367649,91254,3411,0.0281101148011565
Gyökeres Hat-Trick DESTROYS Man City! 🔥 | Sporting 4-1 Man City | UEFA Champions League Highlights,TNT Sports,Sports,GB,2024-11-05T22:32:48Z,5.98,2118115,27531,2943,0.0143873208017506
BIG NEWS!,jschlattLIVE,Entertainment,US,2024-11-07T16:30:03Z,1.13,1435651,155432,5061,0.1117910968612845
The M4 Mac Mini is Incredible!,Marques Brownlee,Science & Technology,US,2024-11-07T14:00:39Z,11.75,4808354,151941,7710,0.0332028382269691
YoungBoy Never Broke Again - Sneaking [Official Video],YoungBoy Never Broke Again,Music,US,2024-11-08T03:41:23Z,2.63,1287734,82455,4104,0.0672180745402389
Brandon Lake - Hard Fought Hallelujah (Music Video),BrandonLakeVEVO,Music,Unknown,2024-11-08T17:00:06Z,5.5,1003010,54535,3461,0.0578219559127027
M4 Mac Mini Review - Apple NAILED It.,Dave2D,Science & Technology,CA,2024-11-07T14:00:49Z,10.58,746709,23015,1487,0.0328133181734785
Take All My Money Supercell 🙏,SnakeThug - Brawl Stars,Gaming,DE,2024-11-07T19:26:52Z,30.32,1499219,71253,2400,0.0491275790928476
Eddsworld - Pinheads,Eddsworld,Film & Animation,GB,2024-11-07T17:10:28Z,6.75,643825,74714,6197,0.1256723488525608
Stranger Things 5 | Title Tease | Netflix,Stranger Things,Entertainment,US,2024-11-06T14:00:00Z,1.05,3373659,130576,5844,0.0404368076323066
12 Dumb Mistakes You Made in Pokémon,MandJTV,Gaming,US,2024-11-07T13:15:03Z,28.72,415727,21486,5403,0.0646794651297606
Dead by Daylight | Doomed Course | Official Trailer,Dead by Daylight,Gaming,CA,2024-11-07T16:30:05Z,0.72,361993,22036,2593,0.0680372272392007
Donald Trump speaks after winning the 2024 Presidential Election,Fox News,News & Politics,US,2024-11-06T08:09:45Z,25.37,18887830,321927,33353,0.0188099956426969
Luis Diaz scores brilliant HAT-TRICK 🔥 | Liverpool v Leverkusen UEFA Champions League Highlights,Amazon Prime Video Sport,Sports,GB,2024-11-05T22:22:54Z,4.82,308155,3287,272,0.0115493826158913
Which Mario Odyssey Capture Survives The Longest?,RedFalcon,Gaming,US,2024-11-06T23:09:13Z,39.65,500961,12123,1087,0.0263693181704763
Apex Legends: From the Rift Launch Trailer,Apex Legends,Gaming,US,2024-11-07T16:00:06Z,1.27,337902,13067,1082,0.0418730874632289
Area 99 Launch Trailer | Call of Duty: Warzone,Call of Duty,Gaming,US,2024-11-07T14:00:05Z,1.5,328734,12309,1158,0.0409662523499242
LIVE: Kamala Harris concession speech after election loss (FULL),Associated Press,News & Politics,US,2024-11-06T21:51:07Z,13.62,4179744,23704,8642,0.0077387514642045
ATEEZ(에이티즈) - [GOLDEN HOUR : Part.2] Preview,KQ ENTERTAINMENT,Music,Unknown,2024-11-07T15:00:00Z,2.87,388133,60391,3583,0.1648249440269186
Zach Bryan - High Road,Zach Bryan,Music,Unknown,2024-11-08T01:02:05Z,3.33,330073,9296,1427,0.0324867529304123
MultiVersus - Official Raven “Too Dark to Care” Gameplay Trailer,MultiVersus,Gaming,Unknown,2024-11-07T13:55:26Z,1.3,439726,19664,2233,0.0497969189904622
11/07/24: President Biden Addresses the Nation,The White House,News & Politics,US,2024-11-07T16:34:23Z,7.18,136205,2730,0,0.0200433170588451
ROSÉ Needs a Stress Ball While Eating Spicy Wings | Hot Ones,First We Feast,Entertainment,Unknown,2024-11-07T16:00:00Z,21.73,3182557,220644,8866,0.0721149691898684
Yungeen Ace - Used To This (Official Music Video),Yungeen Ace,Music,US,2024-11-06T21:00:07Z,2.9,717071,37085,1725,0.0541229529572385
Election results LIVE: AP race calls and electoral map 2024,Associated Press,News & Politics,US,2024-11-06T10:19:30Z,706.57,13141497,37381,846,0.0029088771241206
finally responding to halle...,PontiacMadeDDG,Howto & Style,US,2024-11-07T22:43:50Z,12.93,480347,31085,3697,0.0724101534932038
Absolute Superman: The Most Brutal Superman Ever,Comics Explained,Entertainment,US,2024-11-06T17:51:17Z,21.68,448158,22287,1368,0.0527827239500354
"Bobby Lashley & The Hurt Syndicate lay out their mission statement! | 11/6/24, AEW Dynamite",All Elite Wrestling,Sports,US,2024-11-07T03:05:00Z,6.45,616371,16745,1767,0.03003385947749
I Tried EVERY Viral TikTok Food Hack!,FaZe Rug,Entertainment,US,2024-11-06T21:30:54Z,31.43,3386539,70522,5092,0.0223278101920574
Angel Edgar VS Demon Mortis - Animation,Brawl Stars,Gaming,FI,2024-11-06T09:15:40Z,1.15,10124886,335107,13661,0.0344466100655355
"Counterparts ""A Martyr Left Alive"" / ""No Lamb Was Lost"" (Official Music Video)",Pure Noise Records,Music,US,2024-11-07T15:00:25Z,6.35,99310,7998,733,0.0879166247105024
"HIGHLIGHTS Sporting CP 4-1 Man City | Foden, Gyorkeres hat-trick & Araujo goals",Man City,Sports,GB,2024-11-05T23:00:09Z,2.32,5822760,76823,3937,0.0138697112709436
The Most Insane Weapon You Never Heard About,Kurzgesagt – In a Nutshell,Education,DE,2024-11-05T15:00:02Z,13.93,5052143,214985,11056,0.04474160767025
Diaz Hat-Trick Stuns Alonso! 🤩 | Liverpool 4-0 Bayer Leverkusen | UEFA Champions League Highlights,TNT Sports,Sports,GB,2024-11-05T22:23:07Z,2.93,1111683,13251,940,0.0127653296848112
YoungBoy Never Broke Again - Catch Me [Official Video],YoungBoy Never Broke Again,Music,US,2024-11-08T02:20:09Z,2.42,945701,58104,3013,0.0646261344759072
PIEFACE outruns attack dog AND overnight intrusion?! Locked In S5 EP6 |  @Footasylumofficial,Footasylum,Entertainment,GB,2024-11-05T19:00:33Z,46.12,1355085,27922,1555,0.0217528789706918
democrats deciding who to blame right now,Man Carrying Thing,Comedy,Unknown,2024-11-06T21:22:11Z,0.2,485569,36771,3533,0.0830036513863117
SPEED vs NOAH LYLES 🏃🏾💨 (FASTEST MAN ALIVE),IShowSpeed,Gaming,US,2024-11-07T00:59:17Z,39.33,2414050,91821,5678,0.0403881444046312
