title,channelTitle,category,channel_country,publishedAt,duration,view_count,likes,comment_count,engagement_rate
I Give Up... This Season Is Ridiculous 😂,GOAT,People & Blogs,Unknown,2024-11-09T15:00:55Z,28.27,454874,11941,819,0.0280517242137383
SPEND THE WEEK WITH ME | VLOG | MOLLYMAE,MollyMae,People & Blogs,Unknown,2024-11-10T19:16:45Z,36.48,531594,14760,768,0.0292102619668393
A STAR IS BORN! Keyshawn Obliterates Lemos in Two,Top Rank Boxing,Sports,US,2024-11-09T04:57:30Z,3.42,320104,6815,2093,0.0278284557518806
Why You Can't Travel Between Hawaii's Islands by Boat,RealLifeLore,Education,US,2024-11-08T20:23:34Z,24.73,1922144,33075,3460,0.0190074208800173
ROUND OF THE YEAR! Abdullah Mason Shows His Toughness,Top Rank Boxing,Sports,US,2024-11-09T03:22:25Z,4.73,474722,10470,2465,0.0272475259204334
"FULL SEGMENT: Sami Zayn and Roman Reigns reunite: SmackDown, Nov. 8, 2024",WWE,Sports,Unknown,2024-11-09T04:05:16Z,11.35,2253258,66606,4111,0.0313843332632126
The House of Representatives race is still waiting to be called in the United States,FOX 61,News & Politics,US,2024-11-08T23:44:37Z,2.1,1106680,3930,3090,0.00634329706871
Kevin Gates - FEEL (Official Music Video),kevingatesTV,Music,Unknown,2024-11-08T05:00:02Z,3.65,1081167,49634,3023,0.0487038542611825
Princess Kate’s Stunning Arrival at the Royal Albert Hall ‘Festival of Remembrance’ 2024,The King’s Guards Channel (fan account),Travel & Events,GB,2024-11-09T19:37:37Z,2.07,1252403,3726,418,0.0033088390877377
Buttler Smacks 83 off 45 | Highlights | West Indies v England | 2nd T20I,Windies Cricket,Sports,AG,2024-11-11T04:19:58Z,14.02,1406809,17519,572,0.0128595992775138
Unseen Footage of Roman Reigns and Sami Zayn after WWE Smackdown 11/8/24 Goes Off Air!,Matt Kempke,Sports,US,2024-11-09T03:52:46Z,1.57,972950,18026,386,0.0189238912585436
Donald Trump wins Arizona and its 11 electoral votes,FOX 10 Phoenix,News & Politics,US,2024-11-10T04:39:20Z,0.37,193146,1981,832,0.0145641121224358
YoungBoy Never Broke Again - Sneaking [Official Video],YoungBoy Never Broke Again,Music,US,2024-11-08T03:41:23Z,2.63,1287186,82454,4104,0.0672459147318258
"$73 vs $1,800 Transmission Upgrades | HiLow",Donut,Autos & Vehicles,US,2024-11-08T16:00:30Z,26.05,1053128,40658,1574,0.040101488138194
Will Freeze Drying + Resin Preserve a Pumpkin Forever?,Evan and Katelyn,Howto & Style,US,2024-11-08T16:25:16Z,39.77,760238,47244,3992,0.0673946842962335
Mufasa: The Lion King | Final Trailer,Disney,Entertainment,Unknown,2024-11-08T19:20:38Z,2.4,4196940,29599,0,0.0070525192163814
Moon Knight: Fist of Khonshu | Character Reveal | Marvel Rivals,Marvel Rivals,Gaming,US,2024-11-09T14:01:51Z,0.77,154070,10565,782,0.0736483416628805
"Customizing 10,000 Shirts Like Never Before!",How Ridiculous,Sports,AU,2024-11-08T22:00:23Z,21.82,602664,24490,1522,0.0431616954057318
How Minecraft Mobs Act when you leave…,EYstreem,Gaming,AU,2024-11-09T01:00:23Z,18.85,1905930,24623,1730,0.0138268456868825
Games That Hide Their Own Sequels,Jacob Geller,Gaming,Unknown,2024-11-08T16:28:24Z,32.83,539040,35851,1492,0.0692768625704957
XG - HOWLING (Official Music Video),XG,Music,JP,2024-11-08T09:00:07Z,3.35,4512695,336655,13952,0.0776934847136799
We ARE MOViNG OUT of Our DREAM HOUSE! *Huge Shock*,JustParkers ,Entertainment,US,2024-11-08T17:26:03Z,23.15,843459,19067,2582,0.0256669263117709
FREE CHESTS & HAMMER JAM ARE HERE! | Clash On!,Clash of Clans,Gaming,Unknown,2024-11-08T08:00:06Z,0.88,5949872,89014,3674,0.015578150252644
Need some time,Markiplier,People & Blogs,US,2024-11-09T17:55:53Z,2.12,1924875,264611,17742,0.1466864082083252
YoungBoy Never Broke Again - Missing Everything [Official Video],YoungBoy Never Broke Again,Music,US,2024-11-08T02:20:12Z,3.72,1318243,90633,6523,0.0737011309750933
Tyla - PUSH 2 START (Official Music Video),TylaVEVO,Music,Unknown,2024-11-07T22:00:06Z,2.65,3678932,203680,10435,0.0582003146565361
jschlatt — Santa Claus Is Coming To Town (Official),Schlatt & Co.,Music,US,2024-11-07T16:30:15Z,2.3,2244192,321123,18253,0.1512241376851891
THE BOYFRIEND TAG...,morgans vlogs,People & Blogs,US,2024-11-08T19:16:02Z,18.67,389435,26722,2962,0.0762232464981319
VIDEO: Escaped monkeys spotted in woods near South Carolina facility,FOX Carolina News,News & Politics,US,2024-11-09T00:08:37Z,1.7,385843,1400,1138,0.0065778049621218
Election results LIVE: AP race calls and electoral map 2024,Associated Press,News & Politics,US,2024-11-06T10:19:30Z,706.57,13141497,37381,846,0.0029088771241206
"Donald Trump ‘acted like a man’, says Putin",The Times and The Sunday Times,News & Politics,GB,2024-11-07T20:21:50Z,1.32,4171293,79203,15930,0.0228065973787983
"En Mi Mundo - Jasiel Nuñez, Peso Pluma (Video Oficial)",Jasiel Nuñez,Music,MX,2024-11-08T00:00:07Z,5.32,3328995,83019,2055,0.0255554604317519
LIVE: Kamala Harris concession speech after election loss (FULL),Associated Press,News & Politics,US,2024-11-06T21:51:07Z,13.62,4179744,23704,8642,0.0077387514642045
"IVE, David Guetta - Supernova Love Official Music Video",IVE,Entertainment,KR,2024-11-08T05:00:04Z,2.57,3329064,198527,20881,0.0659068134466624
One Pokeball to Catch the Stronger Pokémon,MandJTV Plays,Gaming,US,2024-11-08T14:15:04Z,27.95,339097,18615,878,0.0574850264083728
House control remains unclear as votes continue to be counted,TODAY,News & Politics,Unknown,2024-11-09T18:30:23Z,2.48,781401,3579,4683,0.0105733163894082
Zach Bryan - High Road,Zach Bryan,Music,Unknown,2024-11-08T01:02:05Z,3.33,330073,9296,1427,0.0324867529304123
