title,channelTitle,category,channel_country,publishedAt,duration,view_count,likes,comment_count,engagement_rate
British College Students try Philly Cheesesteak for the first time!,JOLLY,Entertainment,GB,2024-11-11T15:52:33Z,10.3,592443,28108,1740,0.0503812181087463
Denver Broncos vs. Kansas City Chiefs | 2024 Week 10 Game Highlights,NFL,Sports,Unknown,2024-11-10T21:44:00Z,12.65,1551020,19426,2914,0.0144034248430065
The Biggest Week 10 Takeaways! The Chicago Bears & New York Jets Are A DISASTER,Football Analysis,Sports,US,2024-11-11T04:36:12Z,15.15,186578,5091,793,0.0315364083654021
OFFICIALLY Dried In!! | Building Our Own Home In 90 Days,Ambition Strikes,Autos & Vehicles,US,2024-11-10T15:00:20Z,52.28,401657,27298,986,0.0704182922244601
A STAR IS BORN! Keyshawn Obliterates Lemos in Two,Top Rank Boxing,Sports,US,2024-11-09T04:57:30Z,3.42,320104,6815,2093,0.0278284557518806
ROUND OF THE YEAR! Abdullah Mason Shows His Toughness,Top Rank Boxing,Sports,US,2024-11-09T03:22:25Z,4.73,474780,10470,2465,0.0272441973124394
"HIGHLIGHTS Sporting CP 4-1 Man City | Foden, Gyorkeres hat-trick & Araujo goals",Man City,Sports,GB,2024-11-05T23:00:09Z,2.32,5822760,76823,3937,0.0138697112709436
The M4 Mac Mini is Incredible!,Marques Brownlee,Science & Technology,US,2024-11-07T14:00:39Z,11.75,4808354,151943,7710,0.0332032541697221
HIGHLIGHTS | IRELAND V NEW ZEALAND | AUTUMN NATIONS SERIES 2024,Autumn Nations Series,Sports,Unknown,2024-11-08T22:53:49Z,7.12,523892,5179,1240,0.012252525329648
Pittsburgh Steelers vs. Washington Commanders | 2024 Week 10 Game Highlights,NFL,Sports,Unknown,2024-11-10T21:56:12Z,12.75,1262018,17660,2293,0.0158103925617542
My Daughter's Emotional 15th BIRTHDAY SURPRISE,Jordan Matter,Entertainment,US,2024-11-02T14:00:07Z,28.12,17855779,327897,52542,0.0213062112831929
I Found Rarest Secret Mobs In Minecraft,PrestonPlayz,Gaming,US,2024-11-12T13:00:37Z,22.48,420659,9593,768,0.0246304013464587
M4 Mac Mini Review - Apple NAILED It.,Dave2D,Science & Technology,CA,2024-11-07T14:00:49Z,10.58,746709,23015,1487,0.0328133181734785
Angel Edgar VS Demon Mortis - Animation,Brawl Stars,Gaming,FI,2024-11-06T09:15:40Z,1.15,10124886,335108,13661,0.0344467088320796
Why Are Cooling Towers Shaped Like That?,Practical Engineering,Education,US,2024-11-05T14:00:59Z,19.8,2183552,75429,2818,0.0358347316665689
"On These Questions, Smarter People Do Worse",Veritasium,Education,US,2024-11-04T16:48:03Z,14.58,3477578,159323,13335,0.0496489223246753
Moon Knight: Fist of Khonshu | Character Reveal | Marvel Rivals,Marvel Rivals,Gaming,US,2024-11-09T14:01:51Z,0.77,154070,10565,782,0.0736483416628805
Inter Miami CF vs. Atlanta United | Audi 2024 MLS Cup Playoffs | Full Match Highlights,Major League Soccer,Sports,Unknown,2024-11-10T03:36:27Z,7.38,1345408,17692,3574,0.0158063576253448
Ludwig Eats His Last Meal,Mythical Kitchen,Entertainment,US,2024-11-05T11:01:04Z,43.43,1338054,68820,2457,0.0532691505723984
Race Highlights | 2024 Sao Paulo Grand Prix,FORMULA 1,Sports,Unknown,2024-11-03T18:43:53Z,8.17,7320625,148141,9757,0.0215689234184239
"My Rock, Paper, Scissors Robot Never Loses (+9 Other Inventions)",Mark Rober,Science & Technology,US,2024-11-02T15:00:37Z,19.28,15098060,288097,13243,0.0199588556410558
I REBUILT MY WRECKED LAMBORGHINI TO PROVE MY INSURANCE WRONG,Mat Armstrong,Autos & Vehicles,GB,2024-11-03T18:01:03Z,40.3,3369922,159311,6540,0.0492150856904106
12 Dumb Mistakes You Made in Pokémon,MandJTV,Gaming,US,2024-11-07T13:15:03Z,28.72,415817,21486,5404,0.0646678707219762
Suspiciously Slow | Ep. 4 | Wild Life,LDShadowLady,Gaming,GB,2024-11-09T15:38:24Z,19.23,569715,40234,1992,0.0741177606347033
"FIXING THE $30,000 PROBLEM ON MY NISSAN GTR",Mat Armstrong MK2,Autos & Vehicles,GB,2024-11-07T18:00:36Z,43.48,1684162,68558,2681,0.0422993750007422
What if everyone pointed a laser at the moon?,xkcd's What If?,Science & Technology,US,2024-11-05T17:51:51Z,5.62,1647556,89921,3361,0.0566184093287269
The BEST BMW Cold Air Intake,Fritz Ramos,Autos & Vehicles,US,2024-10-30T12:45:03Z,1.5,1750817,84783,510,0.0487161136772146
Which Mario Odyssey Capture Survives The Longest?,RedFalcon,Gaming,US,2024-11-06T23:09:13Z,39.65,500961,12124,1087,0.0263713143338503
Australia v Pakistan | Second ODI | ODI Series 2024-25,cricket.com.au,Sports,AU,2024-11-08T10:01:03Z,8.08,4693261,82365,4418,0.0184909810044657
OG CHAPTER 2 MEMES,LazarLazar,Gaming,AU,2024-11-03T03:22:38Z,12.42,2757385,109695,2934,0.0408463090935796
Absolute Superman: The Most Brutal Superman Ever,Comics Explained,Entertainment,US,2024-11-06T17:51:17Z,21.68,448259,22287,1368,0.0527708311489562
2025 GRAMMY Nominations: Watch Live Here,Recording Academy / GRAMMYs,Music,US,2024-11-08T16:40:56Z,18.77,392189,11265,2220,0.0343839322367532
GARNACHO WONDER GOAL! UGARTE SUPERB! MANCHESTER UNITED 3-0 LEICESTER GOLDBRIDGE MATCH REACTION,The United Stand,Sports,GB,2024-11-10T16:27:40Z,25.15,266071,7485,430,0.029747698922468
Making pop rocks from scratch (is complicated),NileBlue,Science & Technology,CA,2024-11-02T22:35:02Z,29.7,3511828,208463,10689,0.0624039673924805
Solo Winter Bushcraft Camping in Alaska,Outdoor Boys,Entertainment,US,2024-11-02T11:00:42Z,26.22,5107844,198025,0,0.0387688034325245
FIGHT HIGHLIGHTS | BOOTS ENNIS VS. KAREN CHUKHADZHIAN,DAZN Boxing,Sports,US,2024-11-10T06:35:13Z,10.22,537380,8236,2972,0.0208567494138226
Dead by Daylight | Doomed Course | Official Trailer,Dead by Daylight,Gaming,CA,2024-11-07T16:30:05Z,0.72,361993,22036,2593,0.0680372272392007
Eddsworld - Pinheads,Eddsworld,Film & Animation,GB,2024-11-07T17:10:28Z,6.75,643972,74716,6197,0.12564676725075
Need some time,Markiplier,People & Blogs,US,2024-11-09T17:55:53Z,2.12,1924875,264618,17742,0.1466900448081044
Answering Tough Questions✅,Nidal Wonder,Entertainment,US,2024-11-03T16:45:06Z,9.7,2275817,49550,7024,0.0248587650061494
SIDEMEN AMONG US BUT THE WHOLE LOBBIES INFECTED,MoreSidemen,People & Blogs,GB,2024-11-02T17:45:02Z,53.78,5316978,191000,7100,0.037258006333673
Australia v Pakistan - 1st ODI Full Match Highlights I 04/11/24 I Fox Cricket,Fox Cricket,Sports,AU,2024-11-04T11:06:54Z,15.87,127944,1079,274,0.0105749390358281
"Baby John - Taster Cut | Atlee | Varun Dhawan, Keerthy Suresh, Wamiqa G, Jackie Shroff | 25th Dec",JioStudios,Entertainment,IN,2024-11-04T05:33:43Z,1.97,29239863,440979,32341,0.0161874903449445
Olivia Rodrigo Explores #ASMR | W Magazine,W Magazine,Entertainment,US,2024-11-04T13:00:52Z,16.63,1375500,73133,2889,0.0552686295892402
Coldest SIDEMEN Moments,SidemenReacts,Entertainment,GB,2024-11-05T17:12:36Z,9.37,1021506,49785,444,0.0491715173479157
Fortnite Chapter 2 Remix Official Trailer,Fortnite,Gaming,US,2024-11-01T22:43:59Z,1.83,8234244,213700,21078,0.0285123928802692
Stephen A. SUSPECTS Micah Parsons' comments about Mike McCarthy is something bigger 👀 | First Take,ESPN,Sports,US,2024-11-11T16:15:36Z,13.2,619942,7246,2163,0.0151772262566498
