title,channelTitle,category,channel_country,publishedAt,duration,view_count,likes,comment_count,engagement_rate
Dr. Hathi ने Jethalal को दी Boiled Food खाने की Advise | Taarak Mehta Ka Ooltah Chashmah Ke Foodies,LIV Comedy,Comedy,US,2024-11-11T07:00:12Z,18.6,1017480,8584,174,0.0086075401973503
"Biriyani Ready, Are You Ready? 🍗🤩 | Malaysia Virundhu Ep - 05 | Vj Siddhu Vlogs",Vj Siddhu Vlogs,People & Blogs,IN,2024-11-10T04:30:07Z,14.07,1561749,125920,1003,0.0812697815077839
Sade Jehe (Official Video) | R Nait | Punjabi Song 2024,R Nait,Music,IN,2024-11-07T12:30:02Z,4.05,3169960,31250,1243,0.0102502870698683
Funniest Prop Hunt on 2D World ft.@YesSmartyPie @DREAMBOYYT (Minecraft Hide & Seek),Ezio18rip,Gaming,IN,2024-11-10T12:15:07Z,18.47,283460,17365,415,0.0627248994567134
LOU SHUBA CHATPA NUPI AMA KUKI KHUTLAI PAIBA SHING NA KAPLAKPA NONGMEI MARU NA PANBADAGI LEIKHIDRE,TOM TV,News & Politics,IN,2024-11-09T09:41:35Z,3.43,167511,1838,160,0.0119275749055285
Mayavi ಮಾಯಾವಿ | Sonu Nigam | Sanjith Hegde | Nagarjun Sharma | Bhoomi 2024 | Merchant Records,Salim Sulaiman Music,Music,IN,2024-11-06T10:30:06Z,4.45,1885079,110620,3732,0.0606616486630003
Dindigul Biryani Making Jabbar Bhai Restaurant | Johor Bahru | Malaysia 🇲🇾 ...,Food Area Tamil,People & Blogs,IN,2024-11-10T05:00:22Z,26.78,181772,3724,142,0.0212684021741522
"Yaadon Ke Jharokhon Se - Vanvaas | Nana P, Utkarsh S, Simratt K| Mithoon, Sonu N, Shreya G, Sayeed Q",Zee Music Company,Music,IN,2024-11-11T08:30:04Z,3.32,3564635,40280,1794,0.0118031719937665
20 साल बाद क्यों Release हो रही Ajay Devgn की Film? | Naam | Anees Bazmee | RJ Raunak,Screenwala,Entertainment,IN,2024-11-09T06:30:06Z,3.17,521411,16245,410,0.031942172297861
Double Ex Pranayam | Malayalam Romantic Short Film | Rahul Dinesh | Amalu Babu,Avenir Entertainments,Entertainment,IN,2024-11-08T12:30:45Z,10.97,229861,7583,150,0.0336420706426927
Bigg Boss Telugu 8 | Day 70 - Promo 1 | Unforgettable Hilarious Moments 🤣| Nagarjuna | Star Maa,Star Maa,People & Blogs,IN,2024-11-10T04:50:28Z,2.67,2324333,41239,2365,0.0187597904431077
Biggest youtuber of the world Mr Beast arrives in India welcome to India Mr Beast,Viral Bhayani,Entertainment,IN,2024-11-10T03:42:11Z,1.07,134136,0,101,0.0007529671378302
అల్లుండ్ల పంచాది || ALLUNDLA PANCHADHI || VILLAGE PATAS NEW VIDEO #comedy #villagepatas #trending,VILLAGE PATAS విలేజ్ పటాస్,Entertainment,IN,2024-11-09T11:30:07Z,35.88,116136,3266,169,0.0295773920231452
Nepoleon🥹என் பையன் Dhanoosh கல்யாணம் பண்ண கூடாதா🥺Best அப்பான்னு சொல்லும் போது😍கலங்கிய Nepoleon,Galatta Tamil | கலாட்டா தமிழ்,Entertainment,IN,2024-11-10T05:41:26Z,16.08,1233791,13675,1663,0.0124316030835044
Tiffin Center New Web Series ||  Episode 02 || Bumchick Bunty || Tamada Media,Bumchick Bunty,Entertainment,IN,2024-11-09T13:18:41Z,16.08,98897,2660,38,0.0272809084198711
B Tech Loves M Tech || Episode - 5 || Madhan Majji || Deepa Rathod || Infinitum Media,Infinitum Talkies,Entertainment,IN,2024-11-09T12:13:54Z,13.9,100931,5429,64,0.0544233189010314
Loser Need To Marry !! Girlfriend Challenge !!,Arjyou,Entertainment,IN,2024-11-07T14:10:56Z,13.33,685729,43788,1024,0.0653494310434588
Yeh Rishta Kya Kehlata Hai Today Episode NEW PROMO | 11th November 2024 |,Telly Reporter,Entertainment,IN,2024-11-11T00:37:43Z,0.98,1602668,15326,765,0.0100401330780922
Next Week in Sundari - Promo | 11 Nov 2024  | Tamil Serial | Sun TV,Sun TV,Entertainment,IN,2024-11-10T12:32:37Z,0.53,438555,4882,83,0.0113212709922358
My parent’s 25th Anniversary Vlog | Jannat Zubair,Jannat Zubair Rahmani,Howto & Style,IN,2024-11-09T07:36:21Z,10.03,329442,12608,476,0.0397156403858645
"എന്റെ എംജി കോമറ്റ് കാണുമ്പോൾ ചിലർ ചോദിക്കുന്നു,'അയ്യോ,ഇതെന്താ വാങ്ങിയത്' എന്ന്.അതെന്താ?MG Comet&Me",Baiju N Nair,Autos & Vehicles,IN,2024-11-09T06:30:02Z,31.67,245023,3293,678,0.0162066418254612
FREE CHESTS & HAMMER JAM ARE HERE! | Clash On!,Clash of Clans,Gaming,Unknown,2024-11-08T08:00:06Z,0.88,5950778,89018,3674,0.0155764506758612
